School Year,"Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: White (Tot. M)",Total
 ,,,,,,,
2003-2004,1496,94,196,7,5,1619,3417
2004-2005,1662,404,387,15,38,4312,6818
2005-2006,1320,279,370,23,8,4528,6528
2006-2007,1151,243,640,39,7,6609,8689
2007-2008,1131,357,786,49,5,7346,9674
2008-2009,2487,746,1137,93,21,11305,15789
2009-2010,3238,1019,3353,119,61,14574,22364
2010-2011,4906,1538,4314,144,105,21052,32059
2011-2012,6260,1872,5303,155,90,24313,37993
2012-2013,7375,2112,4606,146,101,25246,39586
2013-2014,9076,2076,6002,182,130,29082,46548
2014-2015,10286,2300,6456,209,125,29576,48952
2015-2016,8454,2001,5169,195,102,24363,40284
2016-2017,2724,458,1293,20,16,6928,11439