Country,Price,Features,Safety,Security,Privacy,Reliability,User Reviews,Expert Recommendation,Friend or Family Recommendation,Convenience,Total
Brazil,4317,3099,179,653,345,806,208,358,188,548,10701
Canada,998,677,150,314,285,424,113,206,98,467,3732
France,5910,3135,350,871,1882,1534,330,479,274,11920,26685
Germany,5495,6703,392,1328,1419,2836,584,931,741,648,21077
India,1073,845,201,219,159,186,72,99,51,147,3052
Italy,8132,9256,937,262,677,2292,542,824,254,1563,24739
Mexico,2119,1942,334,165,138,117,107,252,69,421,5664
Spain,1378,1436,266,133,173,112,114,202,93,954,4861
United Kingdom,1117,997,202,485,269,515,199,301,104,181,4370
United States,4732,3430,763,1871,1260,2038,673,1063,467,594,16891